Component,Document,Tag,URL,Agency
FEMA,FEMA Clothing- XYZ Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2011,https://www.dhs.gov/sites/default/files/publications/fema-clothing-xyz-legend_0.pdf,DHS
FEMA,FEMA Essential Tools Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2012,https://www.dhs.gov/sites/default/files/publications/fema-essential-tools-legend_0.pdf,DHS
FEMA,FEMA Housing Assistance Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2013,https://www.dhs.gov/sites/default/files/publications/fema-housing-assistance-legend_0.pdf,DHS
FEMA,FEMA Individual Housing Program- Housing Assistance Codes Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2014,https://www.dhs.gov/sites/default/files/publications/fema-individual-housing-program-housing-assistance-codes-legend_0.xls,DHS
FEMA,FEMA Individual Housing Program- Other Housing Needs Codes Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2015,https://www.dhs.gov/sites/default/files/publications/fema-individual-housing-program-other-housing-needs-codes-legend_0.xls,DHS
FEMA,FEMA Miscellaneous Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2016,https://www.dhs.gov/sites/default/files/publications/fema-miscellaneous-legend_0.pdf,DHS
FEMA,FEMA Other Needs Program Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2017,https://www.dhs.gov/sites/default/files/publications/fema-other-needs-program-legend_0.pdf,DHS
FEMA,FEMA Personal Property- All Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2018,https://www.dhs.gov/sites/default/files/publications/fema-personal-property-all-legend_0.pdf,DHS
FEMA,FEMA Personal Property- XYZ Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2019,https://www.dhs.gov/sites/default/files/publications/fema-personal-property-xyz-legend_0.pdf,DHS
FEMA,FEMA Real Property Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2020,https://www.dhs.gov/sites/default/files/publications/fema-real-property-legend_0.pdf,DHS
FEMA,FEMA Room- All Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2021,https://www.dhs.gov/sites/default/files/publications/fema-room-all-legend_0.pdf,DHS
FEMA,FEMA Room- XYZ Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2022,https://www.dhs.gov/sites/default/files/publications/fema-room-xyz-legend_0.pdf,DHS
FEMA,FEMA Small Business Administration Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2023,https://www.dhs.gov/sites/default/files/publications/fema-small-business-administration-legend_0.pdf,DHS
FEMA,FEMA Water Legend,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2024,https://www.dhs.gov/sites/default/files/publications/fema-water-legend_0.pdf,DHS
FEMA,FEMA FOIA Log- 2020,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/2020_fema_foia_log.pdf,DHS
FEMA,FEMA FOIA Log- 2019,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema_foia_log_2019_2020_07_22.pdf,DHS
FEMA,FEMA FOIA Log- 2018,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/FEMA%20FOIA%20Logs-%20FY%202018_0.pdf,DHS
FEMA,FEMA FOIA Log- 2017,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/FEMA%20FOIA%20Logs-%20FY%202017.pdf,DHS
FEMA,FEMA FOIA Log- 2016,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy16.pdf,DHS
FEMA,FEMA FOIA Log- 2015,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy15.pdf,DHS
FEMA,FEMA FOIA Log- 2014,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy14.pdf.pdf,DHS
FEMA,FEMA FOIA Log- 2013,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy13_0.pdf,DHS
FEMA,FEMA FOIA Log- 2012,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy12_0.pdf,DHS
FEMA,FEMA FOIA Log- 2011,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema-foia-log-fy-2011-100110-123110.pdf,DHS
FEMA,FEMA FOIA Log- 2010,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema_foia_log_fy_2010.pdf,DHS
FEMA,FEMA FOIA Log- 2009,FEMA FOIA Logs,https://www.dhs.gov/sites/default/files/publications/fema_foia_log_fy_2009.pdf,DHS
FEMA,HSFE7017D0019 Composite Analysis Group INC 1,Composite Analysis Group,https://www.dhs.gov/sites/default/files/publications/HSFE7017D0019%20Composite%20Analysis%20Group%20INC%201.pdf,DHS
FEMA,HSFE7017D0019 Composite Analysis Group INC 2,Composite Analysis Group,https://www.dhs.gov/sites/default/files/publications/HSFE7017D0019%20Composite%20Analysis%20Group%20INC%202.pdf,DHS
FEMA,HSFE7017D0019 Composite Analysis Group INC 3,Composite Analysis Group,https://www.dhs.gov/sites/default/files/publications/HSFE7017D0019%20Composite%20Analysis%20Group%20INC%203.pdf,DHS
FEMA,Identification of Disaster Code Declaration,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2012,https://www.dhs.gov/sites/default/files/publications/identification-of-disaster-code-declaration_0_0.pdf,DHS
FEMA,Individual Housing Program Batch Files Key,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2013,https://www.dhs.gov/sites/default/files/publications/fema-individual-housing-program-batch-files-key_0.xls,DHS
FEMA,Flood Disaster Relief- Greater than 1700,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2014,https://www.dhs.gov/sites/default/files/publications/flood-disaster-relief-greater-than-1700_0.xls,DHS
